timestamp,master_and_slave,master_xor_slave,neither,1st Res Pair,2nd Res Pair,3rd Res Pair
2019-12-15T23:16:00.000Z,0,0,1,4,1,8
2019-12-15T23:17:00.000Z,0,0,1,4,1,8
2019-12-15T23:18:00.000Z,0,0,1,4,1,8
2019-12-15T23:19:00.000Z,0,0,1,4,1,8
2019-12-15T23:20:00.000Z,0,0,1,4,1,8
2019-12-15T23:21:00.000Z,0,0,1,4,1,8
2019-12-15T23:22:00.000Z,0,0,1,1,8,4
2019-12-15T23:23:00.000Z,0,0,1,1,7,4
2019-12-15T23:24:00.000Z,0,0,1,1,7,4
2019-12-15T23:25:00.000Z,0,0,1,1,7,4
2019-12-15T23:26:00.000Z,0,0,1,1,7,4
2019-12-15T23:27:00.000Z,0,0,1,1,7,4
2019-12-15T23:28:00.000Z,0,0,1,1,4,7
2019-12-15T23:29:00.000Z,0,0,1,7,1,8
2019-12-15T23:30:00.000Z,0,0,1,7,1,4
2019-12-15T23:31:00.000Z,0,0,1,7,1,4
2019-12-15T23:32:00.000Z,0,0,1,7,1,4
2019-12-15T23:33:00.000Z,0,0,1,1,7,4
2019-12-15T23:34:00.000Z,0,0,1,1,7,4
2019-12-15T23:35:00.000Z,0,0,1,1,7,4
2019-12-15T23:36:00.000Z,0,0,1,1,7,4
2019-12-15T23:37:00.000Z,0,0,1,4,8,3
2019-12-15T23:38:00.000Z,0,0,1,4,3,8
2019-12-15T23:39:00.000Z,0,0,1,4,3,1
2019-12-15T23:40:00.000Z,0,0,1,4,3,1
2019-12-15T23:41:00.000Z,0,0,1,4,3,8
2019-12-15T23:42:00.000Z,0,0,1,4,3,8
2019-12-15T23:43:00.000Z,0,0,1,1,4,3
2019-12-15T23:44:00.000Z,0,0,1,4,8,1
2019-12-15T23:45:00.000Z,0,0,1,4,1,8
2019-12-15T23:46:00.000Z,0,0,1,4,1,8
2019-12-15T23:47:00.000Z,0,0,1,4,1,3
2019-12-15T23:48:00.000Z,0,0,1,4,1,8
2019-12-15T23:49:00.000Z,0,0,1,4,8,1
2019-12-15T23:50:00.000Z,0,0,1,4,8,3
2019-12-15T23:51:00.000Z,0,0,1,1,4,8
2019-12-15T23:52:00.000Z,0,0,1,4,3,1
2019-12-15T23:53:00.000Z,0,0,1,4,1,8
2019-12-15T23:54:00.000Z,0,0,1,4,1,8
2019-12-15T23:55:00.000Z,0,0,1,4,1,8
2019-12-15T23:56:00.000Z,0,0,1,1,4,8
2019-12-15T23:57:00.000Z,0,0,1,4,8,7
2019-12-15T23:58:00.000Z,0,0,1,4,1,8
2019-12-15T23:59:00.000Z,0,0,1,4,1,8
2019-12-16T0:0:00.000Z,0,0,1,4,8,3
2019-12-16T0:1:00.000Z,0,0,1,4,1,8
2019-12-16T0:2:00.000Z,0,0,1,4,1,8
2019-12-16T0:3:00.000Z,0,0,1,4,1,8
2019-12-16T0:4:00.000Z,0,0,1,4,8,1
2019-12-16T0:5:00.000Z,0,0,1,8,4,1
2019-12-16T0:6:00.000Z,0,0,1,4,1,8
2019-12-16T0:7:00.000Z,0,0,1,1,8,4
2019-12-16T0:8:00.000Z,0,0,1,1,7,8
2019-12-16T0:9:00.000Z,0,0,1,1,7,8
2019-12-16T0:10:00.000Z,0,0,1,1,4,8
2019-12-16T0:11:00.000Z,0,0,1,1,4,7
2019-12-16T0:12:00.000Z,0,0,1,1,7,8
2019-12-16T0:13:00.000Z,0,0,1,1,4,8
2019-12-16T0:14:00.000Z,0,0,1,7,1,4
2019-12-16T0:15:00.000Z,0,0,1,7,1,4
2019-12-16T0:16:00.000Z,0,0,1,7,1,4
2019-12-16T0:17:00.000Z,0,0,1,7,1,4
2019-12-16T0:18:00.000Z,0,0,1,1,7,4
2019-12-16T0:19:00.000Z,0,0,1,7,1,4
2019-12-16T0:20:00.000Z,0,0,1,7,1,4
2019-12-16T0:21:00.000Z,0,0,1,7,1,4
2019-12-16T0:22:00.000Z,0,0,1,4,7,1
2019-12-16T0:23:00.000Z,0,0,1,4,1,7
2019-12-16T0:24:00.000Z,0,0,1,4,1,8
2019-12-16T0:25:00.000Z,0,0,1,4,1,3
2019-12-16T0:26:00.000Z,0,0,1,4,1,3
2019-12-16T0:27:00.000Z,0,0,1,4,1,8
2019-12-16T0:28:00.000Z,0,0,1,4,1,3
2019-12-16T0:29:00.000Z,0,0,1,4,1,8
2019-12-16T0:30:00.000Z,0,0,1,4,1,8
2019-12-16T0:31:00.000Z,0,0,1,4,1,8
2019-12-16T0:32:00.000Z,0,0,1,4,1,8
2019-12-16T0:33:00.000Z,0,0,1,4,1,8
2019-12-16T0:34:00.000Z,0,0,1,1,4,8
2019-12-16T0:35:00.000Z,0,0,1,4,1,8
2019-12-16T0:36:00.000Z,0,0,1,4,1,8
2019-12-16T0:37:00.000Z,0,0,1,1,7,8
2019-12-16T0:38:00.000Z,0,0,1,1,7,4
2019-12-16T0:39:00.000Z,0,0,1,1,7,4
2019-12-16T0:40:00.000Z,0,0,1,1,7,4
2019-12-16T0:41:00.000Z,0,0,1,1,4,7
2019-12-16T0:42:00.000Z,0,0,1,1,7,4
2019-12-16T0:43:00.000Z,0,0,1,1,7,4
2019-12-16T0:44:00.000Z,0,0,1,7,1,4
2019-12-16T0:45:00.000Z,0,0,1,7,1,4
2019-12-16T0:46:00.000Z,0,0,1,1,7,4
2019-12-16T0:47:00.000Z,0,0,1,7,1,4
2019-12-16T0:48:00.000Z,0,0,1,7,1,4
2019-12-16T0:49:00.000Z,0,0,1,7,1,4
2019-12-16T0:50:00.000Z,0,0,1,1,7,4
2019-12-16T0:51:00.000Z,0,0,1,1,7,4
2019-12-16T0:52:00.000Z,0,0,1,1,7,4
2019-12-16T0:53:00.000Z,0,0,1,7,1,4
2019-12-16T0:54:00.000Z,0,0,1,7,1,4
2019-12-16T0:55:00.000Z,0,0,1,1,7,4
2019-12-16T0:56:00.000Z,0,0,1,1,7,4
2019-12-16T0:57:00.000Z,0,0,1,1,7,4
2019-12-16T0:58:00.000Z,0,0,1,1,7,4
2019-12-16T0:59:00.000Z,0,0,1,1,7,4
2019-12-16T1:0:00.000Z,0,0,1,1,7,4
2019-12-16T1:1:00.000Z,0,0,1,7,4,1
2019-12-16T1:2:00.000Z,0,0,1,1,7,4
2019-12-16T1:3:00.000Z,0,0,1,7,4,1
2019-12-16T1:4:00.000Z,0,0,1,7,4,1
2019-12-16T1:5:00.000Z,0,0,1,7,4,1
2019-12-16T1:6:00.000Z,0,0,1,7,4,1
2019-12-16T1:7:00.000Z,0,0,1,7,1,4
2019-12-16T1:8:00.000Z,0,0,1,7,4,1
2019-12-16T1:9:00.000Z,0,0,1,1,7,4
2019-12-16T1:10:00.000Z,0,0,1,7,1,4
2019-12-16T1:11:00.000Z,0,0,1,1,7,4
2019-12-16T1:12:00.000Z,0,0,1,7,1,4
2019-12-16T1:13:00.000Z,0,0,1,7,1,4
2019-12-16T1:14:00.000Z,0,0,1,7,1,4
2019-12-16T1:15:00.000Z,0,0,1,7,1,4
2019-12-16T1:16:00.000Z,0,0,1,1,7,4
2019-12-16T1:17:00.000Z,0,0,1,1,7,4
2019-12-16T1:18:00.000Z,0,0,1,1,7,4
2019-12-16T1:19:00.000Z,0,0,1,7,1,4
2019-12-16T1:20:00.000Z,0,0,1,7,4,1
2019-12-16T1:21:00.000Z,0,0,1,1,7,4
2019-12-16T1:22:00.000Z,0,0,1,4,7,8
2019-12-16T1:23:00.000Z,0,0,1,4,7,8
2019-12-16T1:24:00.000Z,0,0,1,4,1,8
2019-12-16T1:25:00.000Z,0,0,1,4,8,1
2019-12-16T1:26:00.000Z,0,0,1,4,1,8
2019-12-16T1:27:00.000Z,0,1,0,4,8,0
2019-12-16T1:28:00.000Z,0,0,1,4,8,1
2019-12-16T1:29:00.000Z,0,0,1,4,8,7
2019-12-16T1:30:00.000Z,0,0,1,4,3,1
2019-12-16T1:31:00.000Z,0,0,1,4,8,1
2019-12-16T1:32:00.000Z,0,0,1,4,1,8
2019-12-16T1:33:00.000Z,0,0,1,4,1,8
2019-12-16T1:34:00.000Z,0,0,1,4,1,8
2019-12-16T1:35:00.000Z,0,0,1,4,1,8
2019-12-16T1:36:00.000Z,0,0,1,4,8,1
2019-12-16T1:37:00.000Z,0,0,1,4,1,8
2019-12-16T1:38:00.000Z,0,0,1,4,1,3
2019-12-16T1:39:00.000Z,0,0,1,4,1,8
2019-12-16T1:40:00.000Z,0,0,1,4,1,8
2019-12-16T1:41:00.000Z,0,0,1,4,1,8
2019-12-16T1:42:00.000Z,0,0,1,4,1,8
2019-12-16T1:43:00.000Z,0,0,1,4,1,8
2019-12-16T1:44:00.000Z,0,0,1,4,1,8
2019-12-16T1:45:00.000Z,0,0,1,4,8,1
2019-12-16T1:46:00.000Z,0,0,1,4,1,8
2019-12-16T1:47:00.000Z,0,0,1,4,1,8
2019-12-16T1:48:00.000Z,0,0,1,4,1,8
2019-12-16T1:49:00.000Z,0,0,1,4,1,8
2019-12-16T1:50:00.000Z,0,0,1,4,1,8
2019-12-16T1:51:00.000Z,0,0,1,4,1,8
2019-12-16T1:52:00.000Z,0,0,1,4,1,8
2019-12-16T1:53:00.000Z,0,0,1,1,4,2
2019-12-16T1:54:00.000Z,0,0,1,1,4,8
2019-12-16T1:55:00.000Z,0,0,1,1,4,8
2019-12-16T1:56:00.000Z,0,0,1,1,4,8
2019-12-16T1:57:00.000Z,0,0,1,1,4,8
2019-12-16T1:58:00.000Z,0,1,0,1,4,0
2019-12-16T1:59:00.000Z,0,0,1,1,4,2
